player_name,team_name,hero_name,usage_count
Coldj,Naive Piggy,Lúcio,17
Kaneki,JD Gaming,Symmetra,17
prot3ct,SV,Zarya,17
Ezhan,All Gamers,Widowmaker,17
LiGe,All Gamers,Mauga,17
Vestola,Al Qadsiah,Zarya,17
Galaa,Al Qadsiah,Lúcio,17
AlphaYi,Geekay Esports,Vendetta,17
Khenail,Anyone's Legend,Kiriko,17
Cjay,Dallas Fuel,Kiriko,17
xomba,LuneX Gaming,Tracer,17
Ryan,Extinction,Tracer,17
Hawk,Spacestation Gaming,Zarya,17
Yoko,Quasar Esports,Tracer,17
Rokit,Disguised,Tracer,16
Tred,Disguised,D.Va,16
Dip,Team Peps,Tracer,16
ChiYo,Team Falcons,Jetpack Cat,16
TVNT,Twisted Minds,D.Va,16
Checkmate,Team Falcons,Tracer,16
Ydot,ENTER FORCE.36,Lúcio,16
Roxy,Nyam Gaming,Zarya,16
NHZ,Lazuli,Brigitte,16
umi,Lazuli,Juno,16
Becky,ZAN Esports,Vendetta,16
SP1NT,RØDE ONSIDE GAMING,Vendetta,16
STALK3R,Crazy Raccoon,Emre,16
Diya,Milk Tea,Juno,16
skyshow,DEG,Tracer,16
Belosrea,JD Gaming,D.Va,16
Lateyoung,Naive Piggy,Orisa,16
Coldj,Naive Piggy,Brigitte,16
Taejong,Al Qadsiah,Vendetta,16
UltraViolet,Spacestation Gaming,Juno,16
Zorrow,Team Peps,Sojourn,15
MER1T,Team Falcons,Emre,15
Zeruhh,Team Liquid,Vendetta,15
Vega,Team Liquid,Brigitte,15
Simple,Twisted Minds,Juno,15
Breadturtle,Telomere,Tracer,15
Gaisen,ENTER FORCE.36,Juno,15
mint,Nyam Gaming,Lúcio,15
HRY,99DIVINE,Tracer,15
DOX,Lazuli,Ramattra,15
Heesung,ENTER FORCE.36,D.Va,15
Proper,ZETA DIVISION,Symmetra,15
knife,ZETA DIVISION,Sojourn,15
shu,ZETA DIVISION,Kiriko,15
Viol2t,ZETA DIVISION,Illari,15
Becky,ZAN Esports,Tracer,15
HEISER,ZAN Esports,D.Va,15
D0D0,New Era,Tracer,15
ZEST,T1,Tracer,15
D4RT,Poker Face,Tracer,15
Viol2t,ZETA DIVISION,Jetpack Cat,15
Pineapple,JD Gaming,Sojourn,15
crispy,Anyone's Legend,Lúcio,15
sniper,Extinction,D.Va,15
Scorch,FURY,Winston,15
Rokit,Disguised,Vendetta,14
Willys,Team Peps,Zarya,14
TOPDRAGON,VARREL,Vendetta,14
Kellan,Dallas Fuel,Wrecking Ball,14
Ch0r0ng,Crazy Raccoon,Jetpack Cat,14
Leave,Weibo Gaming,Vendetta,14
Zeruhh,Team Liquid,Symmetra,14
Vigilante,Crazy Raccoon,Juno,14
kiibo,Telomere,Brigitte,14
APDO,Nyam Gaming,Tracer,14
Roxy,Nyam Gaming,D.Va,14
ta1yo,TOKYO TAIYOs,Tracer,14
SLEY,VARREL,Jetpack Cat,14
QLOUD,VARREL,Kiriko,14
SORI,99DIVINE,Tracer,14
Supreme,99DIVINE,Ana,14
Setsuna,Lazuli,Sojourn,14
A1IEN,ZAN Esports,Sojourn,14
perr,New Era,Emre,14
WoochaN,Cheeseburger,Ana,14
MAKA,Weibo Gaming,Juno,14
Lateyoung,Naive Piggy,Zarya,14
LeeSooMin,Weibo Gaming,Jetpack Cat,14
MAKA,Weibo Gaming,Ana,14
Cjay,Dallas Fuel,Ana,14
Escanor,Team Liquid,Juno,14
Grapes,Extinction,Lúcio,14
brysonbtw,Rankers,Reaper,14
Elva,MieMieYang,Tracer,14
MER1T,Team Falcons,Sojourn,13
Seonjun,Dallas Fuel,Symmetra,13
eisgnom,Virtus.pro,D.Va,13
JunBin,Crazy Raccoon,D.Va,13
TR33,Team Liquid,Sojourn,13
kiibo,Telomere,Lúcio,13
Edison,ENTER FORCE.36,Symmetra,13
TOPDRAGON,VARREL,Symmetra,13
QLOUD,VARREL,Ana,13
ICHI,99DIVINE,D.Va,13
KSG,VARREL,Hazard,13
Argon,Cheeseburger,Symmetra,13
skewed,T1,Juno,13
SeungAn,Cheeseburger,Winston,13
Remedy,Homie E,Kiriko,13
BABAYAGA,SV,Tracer,13
Recall,All Gamers,Ana,13
