player_name,team_name,hero_name,usage_count
Ezhan,All Gamers,Sojourn,8
Wangming,DEG,Vendetta,8
wh4le,Naive Piggy,Symmetra,8
Belosrea,JD Gaming,Doomfist,8
MewTwo,JD Gaming,Wuyang,8
wh4le,Naive Piggy,Cassidy,8
LeeSooMin,Weibo Gaming,Brigitte,8
guxue,Weibo Gaming,Hazard,8
Insane,All Gamers,Tracer,8
Belosrea,JD Gaming,Ramattra,8
Ade,Al Qadsiah,Tracer,8
Vestola,Al Qadsiah,D.Va,8
Willys,Team Peps,Hazard,8
ZIYAD,Geekay Esports,Wrecking Ball,8
Haku,Geekay Esports,Juno,8
FDGod,Team Peps,Brigitte,8
FiNN,Geekay Esports,Juno,8
Lukemino,Dallas Fuel,Wuyang,8
NenWhy,LuneX Gaming,Brigitte,8
pdk,Extinction,Emre,8
Infekted,Team Liquid,Mauga,8
Tom4to,Rankers,Ana,8
FEI,Rankers,Kiriko,8
Elva,MieMieYang,Symmetra,8
Hyunjae,MieMieYang,Lúcio,8
Regr3t,FURY,Sojourn,8
Scorch,FURY,Zarya,8
TKL,Quasar Esports,Cassidy,8
TKL,Quasar Esports,Emre,8
Huntin,Quasar Esports,Ana,8
Kronik,Dallas Fuel,Tracer,8
FDGod,Team Peps,Jetpack Cat,7
Xerion,Team Peps,Ana,7
KSG,VARREL,Zarya,7
eisgnom,Virtus.pro,Domina,7
LeeSooMin,Weibo Gaming,Kiriko,7
Zeruhh,Team Liquid,Genji,7
Infekted,Team Liquid,Domina,7
Vega,Team Liquid,Kiriko,7
JaeWoo,Twisted Minds,Pharah,7
kiibo,Telomere,Kiriko,7
Edison,ENTER FORCE.36,Echo,7
HRY,99DIVINE,Symmetra,7
Supreme,99DIVINE,Jetpack Cat,7
TOPDRAGON,VARREL,Echo,7
ICHI,99DIVINE,Zarya,7
KSG,VARREL,Orisa,7
Argon,Cheeseburger,Vendetta,7
Proper,ZETA DIVISION,Vendetta,7
knife,ZETA DIVISION,Mei,7
Viol2t,ZETA DIVISION,Brigitte,7
A1IEN,ZAN Esports,Bastion,7
SP1NT,RØDE ONSIDE GAMING,Genji,7
D0D0,New Era,Symmetra,7
ZeSin,Cheeseburger,Emre,7
WoochaN,Cheeseburger,Juno,7
Mer1t,Team Falcons,Sojourn,7
Proper,ZETA DIVISION,Pharah,7
Mer1t,Team Falcons,Emre,7
FARMER,Cheeseburger,Zarya,7
Proper,ZETA DIVISION,Echo,7
OPENER,RØDE ONSIDE GAMING,Wuyang,7
JunBin,Crazy Raccoon,Mauga,7
knife,ZETA DIVISION,Bastion,7
STALK3R,Crazy Raccoon,Bastion,7
Recall,All Gamers,Baptiste,7
Wangming,DEG,Symmetra,7
Limbo,DEG,Doomfist,7
SINCE,DEG,Kiriko,7
Coldj,Naive Piggy,Illari,7
Coldj,Naive Piggy,Kiriko,7
Noy,SV,Juno,7
LiGe,All Gamers,Winston,7
Alphari,All Gamers,Genji,7
shy,Weibo Gaming,Bastion,7
Seicoe,Virtus.pro,Pharah,7
Kevster,Virtus.pro,Widowmaker,7
Ade,Al Qadsiah,Sojourn,7
